text,date,n_favs,n_rts
@angel16012 lo curioso es quién las está contando,2022-11-12 02:26:07+00:00,1,0
"@ericitodemar totalmente de acuerdo, siempre me pareció super machista el día de las agrupaciones",2022-11-11 01:17:32+00:00,1,0
qué hacía una foto mía en el stand de cafusb si no me pagaron,2022-11-10 20:12:55+00:00,1,0
yo cuando un tuit mío tiene más de un (1) like https://t.co/cc4sOrfLrK,2022-11-10 16:24:41+00:00,2,1
@noymporta es que yo vi twitter for iphone y dije dios mío cómo noy monta esa vaina,2022-11-10 00:05:34+00:00,1,0
@angel16012 la manera en que las secciones de farith y bertha se quedarían vacías si hacen eso,2022-11-09 18:49:32+00:00,2,0
https://t.co/otVaEw3sMu https://t.co/FhgZpipHKO,2022-11-08 17:41:12+00:00,1,0
por qué coño de la madre me aparecen todos los tuits de elon musk si yo no sigo a ese maldito,2022-11-08 15:38:11+00:00,1,0
"ojalá fuera un mejor computista, uno excepcional, que supiera cómo inyectar código malicioso en overleaf y tumbarlo… https://t.co/SBk2EMYFhn",2022-11-08 02:17:32+00:00,3,0
@ericitodemar eso es para ver quién sale diciéndoles que no XDDD,2022-11-08 01:59:00+00:00,1,0
"@isademotunui ve si está abierto el Subway o prove, o doña jojoto",2022-11-07 18:12:38+00:00,1,0
@ericitodemar les quedan unos 3 años fácil,2022-11-07 17:44:54+00:00,1,0
ahí ahí esta semana https://t.co/CF1WNQt5Q6,2022-11-07 17:43:12+00:00,1,0
Verga me iba a poner a responder a las imbéciles estas pero nawebona entré un momento al perfil y dan vergüenza ajena ajsnsjsj.,2022-11-07 17:13:56+00:00,3,0
qué carro eres https://t.co/GYPylne7fD,2022-11-07 04:57:31+00:00,3,0
on my way to sacar algo de aquí y ganar el concurso de escritura hecha en casa 😈😈😈😈 https://t.co/wrrIoV0OCm,2022-11-06 22:07:43+00:00,2,0
la raza más débil es la que tiene pineado en su cuenta un hit tweet,2022-11-06 20:06:04+00:00,2,0
de pana https://t.co/TKc8HpdnPk,2022-11-06 20:04:27+00:00,1,0
